0, 242
1, 287
2, 331
3, 425
4, 246
5, 245
6, 166
7, 168
8, 197
9, 212
10, 340
11, 284
12, 238
13, 239
14, 249
15, 230
16, 245
17, 186
18, 212
19, 266
20, 136
21, 192
22, 361
23, 315
24, 197
25, 164
26, 184
27, 208
28, 249
29, 291
30, 141
31, 136
32, 252
33, 238
34, 205
35, 181
36, 232
37, 314
38, 201
39, 488
40, 334
41, 258
42, 209
43, 314
44, 345
45, 240
46, 267
47, 307
48, 206
49, 351
50, 245
51, 206
52, 390
53, 238
54, 151
55, 180
56, 272
57, 231
58, 314
59, 182
60, 218
61, 206
62, 209
63, 190
64, 211
65, 175
66, 520
67, 327
68, 214
69, 249
70, 229
71, 266
72, 201
73, 244
74, 134
75, 175
76, 169
77, 320
78, 146
79, 199
80, 133
81, 149
82, 279
83, 233
84, 269
85, 355
86, 331
87, 181
88, 272
89, 229
90, 205
91, 306
92, 287
93, 223
94, 220
95, 245
96, 266
97, 287
98, 261
99, 285
100, 213
101, 228
102, 244
103, 281
104, 216
105, 327
106, 225
107, 468
108, 269
109, 200
110, 233
111, 233
112, 248
113, 252
114, 232
115, 294
116, 241
117, 196
118, 223
119, 208
120, 245
121, 279
122, 258
123, 259
124, 270
125, 339
126, 257
127, 225
128, 282
129, 367
130, 201
131, 298
132, 218
133, 317
134, 246
135, 209
136, 378
137, 424
138, 256
139, 321
140, 436
141, 204
142, 236
143, 318
144, 185
145, 400
146, 220
147, 296
148, 316
149, 225
150, 193
151, 271
152, 224
153, 250
154, 452
155, 318
156, 361
157, 333
158, 221
159, 315
160, 277
161, 324
162, 375
163, 378
164, 470
165, 286
166, 313
167, 476
168, 592
169, 328
170, 329
171, 280
172, 241
173, 333
174, 294
175, 321
176, 351
177, 700
178, 458
179, 340
180, 455
181, 457
182, 211
183, 386
184, 420
185, 358
186, 543
187, 568
188, 599
189, 608
190, 358
191, 608
192, 365
193, 451
194, 627
195, 894
196, 449
197, 411
198, 329
199, 366
200, 341
201, 307
202, 454
203, 574
204, 798
205, 727
206, 817
207, 586
208, 827
209, 1011
210, 500
211, 905
212, 903
213, 840
214, 910
215, 914
216, 1189
217, 557
218, 619
219, 829
220, 839
221, 895
222, 1256
223, 828
224, 936
225, 1068
226, 1193
227, 998
228, 983
229, 1108
230, 717
231, 1079
232, 1096
233, 963
234, 1028
235, 1093
236, 1815
237, 1657
238, 1031
239, 1204
240, 1055
241, 1032
242, 466
243, 898
244, 1236
245, 1384
246, 1246
247, 1697
248, 1432
249, 1191
250, 1493
251, 1423
252, 1451
253, 1582
254, 1263
255, 1196
256, 1687
257, 1202
258, 1370
259, 909
260, 1087
261, 1493
262, 2024
263, 1564
264, 1331
265, 1392
266, 1819
267, 1202
268, 1795
269, 1288
270, 1316
271, 1490
272, 1445
273, 1356
274, 1628
275, 1615
276, 1248
277, 1687
278, 1656
279, 1662
280, 1777
281, 1692
282, 1704
283, 1338
284, 1795
285, 1764
286, 1530
287, 1889
288, 1531
289, 1875
290, 1502
291, 1463
292, 1398
293, 1975
294, 2146
295, 2418
296, 1808
297, 1672
298, 1784
299, 2314
300, 1760
301, 2535
302, 1890
303, 2346
304, 2024
305, 2200
306, 1626
307, 2476
308, 2058
309, 2568
310, 2223
311, 2543
312, 2602
313, 2196
314, 1761
315, 1701
316, 2196
317, 2028
318, 1852
319, 1625
320, 2090
321, 2058
322, 1661
323, 2128
324, 1625
325, 2210
326, 1995
327, 2292
328, 2836
329, 2188
330, 2420
331, 2409
332, 1606
333, 1946
334, 1894
335, 1871
336, 2102
337, 1687
338, 2045
339, 1875
340, 1790
341, 2359
