index, value
dia 364, 673
dia 365, 408
dia 366, 407
dia 367, 418
dia 368, 421
dia 369, 480
dia 370, 548
dia 371, 486
dia 372, 431
dia 373, 289
dia 374, 366
dia 375, 483
dia 376, 447
dia 377, 327
dia 378, 380
dia 379, 394
dia 380, 377
dia 381, 283
dia 382, 277
dia 383, 387
dia 384, 320
dia 385, 341
dia 386, 579
dia 387, 306
dia 388, 240
dia 389, 265
dia 390, 373
dia 391, 510
dia 392, 442
dia 393, 384
dia 394, 382
dia 395, 315
dia 396, 316
dia 397, 203
dia 398, 266
dia 399, 224
dia 400, 256
dia 401, 458
dia 402, 365
dia 403, 262
dia 404, 355
dia 405, 367
dia 406, 311
dia 407, 347
dia 408, 300
dia 409, 197
dia 410, 205
dia 411, 317
dia 412, 256
dia 413, 239
dia 414, 279
dia 415, 269
dia 416, 265
dia 417, 292
dia 418, 227
dia 419, 270
dia 420, 360
dia 421, 257
dia 422, 210
dia 423, 277
dia 424, 329
dia 425, 300
dia 426, 247
dia 427, 326
dia 428, 253
dia 429, 408
dia 430, 342
dia 431, 324
dia 432, 397
dia 433, 388
dia 434, 415
dia 435, 311
dia 436, 330
dia 437, 295
dia 438, 295
dia 439, 218
dia 440, 398
dia 441, 331
dia 442, 218
dia 443, 192
dia 444, 293
dia 445, 330
dia 446, 312
dia 447, 332
dia 448, 455
dia 449, 357
dia 450, 349
dia 451, 240
dia 452, 399
dia 453, 344
dia 454, 256
dia 455, 272
dia 456, 251
dia 457, 411
dia 458, 340
dia 459, 235
dia 460, 278
dia 461, 382
dia 462, 198
dia 463, 287
dia 464, 342
dia 465, 394
dia 466, 242
dia 467, 217
dia 468, 300
dia 469, 211
dia 470, 223
dia 471, 202
dia 472, 170
dia 473, 266
dia 474, 265
dia 475, 222
dia 476, 395
dia 477, 275
dia 478, 386
dia 479, 438
dia 480, 287
dia 481, 245
dia 482, 263
dia 483, 220
dia 484, 212
dia 485, 166
dia 486, 283
dia 487, 254
dia 488, 381
dia 489, 338
dia 490, 231
dia 491, 224
dia 492, 103
dia 493, 244
dia 494, 275
dia 495, 169
dia 496, 376
dia 497, 302
dia 498, 595
dia 499, 251
dia 500, 218
dia 501, 377
dia 502, 363
dia 503, 327
dia 504, 218
dia 505, 214
dia 506, 354
dia 507, 170
dia 508, 163
dia 509, 223
dia 510, 230
dia 511, 261
dia 512, 286
dia 513, 352
dia 514, 174
dia 515, 228
dia 516, 222
dia 517, 183
dia 518, 169
dia 519, 143
dia 520, 192
dia 521, 442
dia 522, 449
dia 523, 222
dia 524, 275
dia 525, 366
dia 526, 331
dia 527, 160
dia 528, 320
dia 529, 336
dia 530, 163
dia 531, 251
dia 532, 283
dia 533, 277
dia 534, 158
dia 535, 289
dia 536, 305
dia 537, 156
dia 538, 329
dia 539, 220
dia 540, 252
dia 541, 240
dia 542, 196
dia 543, 202
dia 544, 203
dia 545, 189
dia 546, 146
dia 547, 240
dia 548, 200
dia 549, 217
dia 550, 336
dia 551, 290
dia 552, 362
dia 553, 284
dia 554, 347
dia 555, 325
dia 556, 210
dia 557, 163
dia 558, 216
dia 559, 367
dia 560, 307
dia 561, 248
dia 562, 261
dia 563, 272
dia 564, 285
dia 565, 336
dia 566, 265
dia 567, 274
dia 568, 360
dia 569, 328
dia 570, 269
dia 571, 351
dia 572, 239
dia 573, 156
dia 574, 256
dia 575, 349
dia 576, 359
dia 577, 330
dia 578, 273
dia 579, 239
dia 580, 315
dia 581, 346
dia 582, 300
dia 583, 278
dia 584, 342
dia 585, 380
dia 586, 202
dia 587, 279
dia 588, 404
dia 589, 339
dia 590, 389
dia 591, 346
dia 592, 335
dia 593, 321
dia 594, 294
dia 595, 495
dia 596, 434
dia 597, 364
dia 598, 409
dia 599, 266
dia 600, 487
dia 601, 617
dia 602, 380
dia 603, 467
dia 604, 373
dia 605, 306
dia 606, 363
dia 607, 558
dia 608, 501
dia 609, 596
dia 610, 495
dia 611, 502
dia 612, 402
dia 613, 357
dia 614, 301
dia 615, 408
dia 616, 397
dia 617, 574
dia 618, 570
dia 619, 456
