index, valuedia 0, 242
dia 1, 287
dia 2, 331
dia 3, 425
dia 4, 246
dia 5, 245
dia 6, 166
dia 7, 168
dia 8, 197
dia 9, 212
dia 10, 340
dia 11, 284
dia 12, 238
dia 13, 239
dia 14, 249
dia 15, 230
dia 16, 245
dia 17, 186
dia 18, 212
dia 19, 266
dia 20, 136
dia 21, 192
dia 22, 361
dia 23, 315
dia 24, 197
dia 25, 164
dia 26, 184
dia 27, 208
dia 28, 249
dia 29, 291
dia 30, 141
dia 31, 136
dia 32, 252
dia 33, 238
dia 34, 205
dia 35, 181
dia 36, 232
dia 37, 314
dia 38, 201
dia 39, 488
dia 40, 334
dia 41, 258
dia 42, 209
dia 43, 314
dia 44, 345
dia 45, 240
dia 46, 267
dia 47, 307
dia 48, 206
dia 49, 351
dia 50, 245
dia 51, 206
dia 52, 390
dia 53, 238
dia 54, 151
dia 55, 180
dia 56, 272
dia 57, 231
dia 58, 314
dia 59, 182
dia 60, 218
dia 61, 206
dia 62, 209
dia 63, 190
dia 64, 211
dia 65, 175
dia 66, 520
dia 67, 327
dia 68, 214
dia 69, 249
dia 70, 229
dia 71, 266
dia 72, 201
dia 73, 244
dia 74, 134
dia 75, 175
dia 76, 169
dia 77, 320
dia 78, 146
dia 79, 199
dia 80, 133
dia 81, 149
dia 82, 279
dia 83, 233
dia 84, 269
dia 85, 355
dia 86, 331
dia 87, 181
dia 88, 272
dia 89, 229
dia 90, 205
dia 91, 306
dia 92, 287
dia 93, 223
dia 94, 220
dia 95, 245
dia 96, 266
dia 97, 287
dia 98, 261
dia 99, 285
dia 100, 213
dia 101, 228
dia 102, 244
dia 103, 281
dia 104, 216
dia 105, 327
dia 106, 225
dia 107, 468
dia 108, 269
dia 109, 200
dia 110, 233
dia 111, 233
dia 112, 248
dia 113, 252
dia 114, 232
dia 115, 294
dia 116, 241
dia 117, 196
dia 118, 223
dia 119, 208
dia 120, 245
dia 121, 279
dia 122, 258
dia 123, 259
dia 124, 270
dia 125, 339
dia 126, 257
dia 127, 225
dia 128, 282
dia 129, 367
dia 130, 201
dia 131, 298
dia 132, 218
dia 133, 317
dia 134, 246
dia 135, 209
dia 136, 378
dia 137, 424
dia 138, 256
dia 139, 321
dia 140, 436
dia 141, 204
dia 142, 236
dia 143, 318
dia 144, 185
dia 145, 400
dia 146, 220
dia 147, 296
dia 148, 316
dia 149, 225
dia 150, 193
dia 151, 271
dia 152, 224
dia 153, 250
dia 154, 452
dia 155, 318
dia 156, 361
dia 157, 333
dia 158, 221
